NEWID;AGE_REF;AGE2;BATHRMQ;BEDROOMQ;BLS_URBN;FAM_SIZE;INC_RANK;RENTEQVX;VEHQ
3647864;70;67;3;4;1;2;0.7754491;2848;2
3647874;31;32;2;3;1;4;0.8456604;1100;2
3647884;23;;1;3;1;1;0.1941712;;0
3647904;49;;1;2;1;1;0.5442081;1100;1
3647914;62;58;2;3;1;2;0.3139809;1500;7
3647934;58;62;2;3;1;2;0.1861133;1250;3
3647974;52;51;2;4;1;5;0.8007022;2500;0
3647984;50;;2;3;1;2;0.6805309;1800;6
3648004;78;;1;2;1;1;0.1934132;;1
3648024;60;61;2;4;1;3;0.4198003;2000;5
3648044;27;27;2;3;1;3;0.3879722;800;2
3648054;73;;1;2;1;1;0.5400442;;0
3648064;53;55;2;3;1;2;0.4047025;800;2
3648084;38;31;2;2;1;2;0.8950536;1300;2
3648104;61;;1;2;1;1;0.5470521;1500;4
3648144;67;67;1;4;1;2;0.7819061;1200;4
3648154;59;;3;3;1;2;0.1032052;2100;1
3648184;51;47;1;3;1;5;0.7085248;800;3
3648194;33;43;2;2;1;3;0.4023758;;1
3648204;43;47;2;3;1;4;0.317562;1700;3
3648224;79;;1;3;1;1;0.3465825;1500;1
3648244;55;57;1;5;1;2;0.1727193;1500;3
3648264;29;26;1;3;1;2;0.6847568;1200;2
3648314;71;;2;2;1;2;0.3707667;;1
3648344;53;;1;3;1;1;0.0156;2000;1
3648364;41;46;1;2;1;6;0.3938387;;0
3648414;57;;2;3;1;1;0.4814567;2200;1
3648424;70;;1;2;1;2;0.1557273;2700;2
3648434;63;;1;1;1;1;0.3448603;800;1
3648444;27;;1;1;1;1;0.1958917;;0
3648484;61;61;2;4;1;4;0.9877699;3500;6
3648494;59;64;;;1;2;0.038511;1498;0
3648504;41;;1;2;1;1;0.1157467;1500;1
3648534;69;;2;3;2;1;0.1654476;1500;4
3648564;65;62;2;3;1;2;0.3767371;1200;3
3648594;37;40;2;2;1;4;0.2831514;;0
